trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-8420772237478255700,ICE,872,Hannover Hbf,2508222128,2508222131,25082221,8000152
-8593658168921970782,IC,2082,Hannover Hbf,2508221654,2508221657,25082216,8000152
-8593658168921970782,IC,2082,Celle,2508221716,2508221717,25082217,8000064
-8593658168921970782,IC,2082,Uelzen,2508221741,2508221743,25082217,8000168
-8593658168921970782,IC,2082,Lüneburg,2508221757,2508221759,25082217,8000238
-8593658168921970782,IC,2082,Hamburg-Harburg,2508221816,2508221818,25082218,8000147
-8593658168921970782,IC,2082,Hamburg Hbf,2508221830,2508221830,25082218,8002549
-8609120402991554192,ICE,532,Hannover Hbf,2508222132,2508222145,25082221,8000152
-8614664585551473503,ICE,557,Hannover Hbf,2508221319,2508221322,25082213,8000152
-8639223983941365030,ICE,1085,Hamburg-Altona,2508221510,2508221510,25082215,8002553
-8639223983941365030,ICE,1085,Hamburg Dammtor,2508221519,2508221520,25082215,8002548
-8639223983941365030,ICE,1085,Hamburg Hbf,2508221524,2508221528,25082215,8002549
-8639223983941365030,ICE,1085,Hamburg-Harburg,2508221538,2508221539,25082215,8000147
-8639223983941365030,ICE,1085,Lüneburg,2508221556,2508221558,25082215,8000238
-8639223983941365030,ICE,1085,Uelzen,2508221613,2508221614,25082216,8000168
-8639223983941365030,ICE,1085,Celle,2508221636,2508221637,25082216,8000064
-8639223983941365030,ICE,1085,Hannover Hbf,2508221658,2508221702,25082216,8000152
-8674838902493379360,IC,2374,Hannover Hbf,2508221356,2508221359,25082213,8000152
-8674838902493379360,IC,2374,Celle,2508221417,2508221418,25082214,8000064
-8674838902493379360,IC,2374,Uelzen,2508221440,2508221442,25082214,8000168
-8674838902493379360,IC,2374,Lüneburg,2508221457,2508221459,25082214,8000238
-8674838902493379360,IC,2374,Hamburg-Harburg,2508221517,2508221518,25082215,8000147
-8674838902493379360,IC,2374,Hamburg Hbf,2508221530,2508221533,25082215,8002549
-8674838902493379360,IC,2374,Hamburg Dammtor,2508221536,2508221537,25082215,8002548
-8701805413806314010,ICE,579,Hamburg Dammtor,2508221315,2508221315,25082213,8002548
-8701805413806314010,ICE,579,Hamburg Hbf,2508221320,2508221324,25082213,8002549
-8701805413806314010,ICE,579,Hannover Hbf,2508221438,2508221441,25082214,8000152
-8718558385229210224,IC,2049,Hannover Hbf,2508221418,2508221436,25082214,8000152
-8796610692411741434,IC,2433,Hannover Hbf,2508221713,2508221736,25082217,8000152
-8851364894620886703,FLX,1235,Hannover Hbf,2508221341,2508221344,25082213,8000152
-893148775004719136,IC,2043,Hannover Hbf,2508222020,2508222036,25082220,8000152
-8941932149309778658,ICE,572,Hannover Hbf,2508222119,2508222122,25082221,8000152
-9077160869576132165,ICE,655,Hannover Hbf,2508222119,2508222122,25082221,8000152
-9088082730599968098,ICE,953,Hannover Hbf,2508221828,2508221831,25082218,8000152
-988583344704703688,ICE,883,Hamburg Dammtor,2508221554,2508221554,25082215,8002548
