trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,request_uic
-8906112445839706377,ICE,847,Hannover Hbf,2508191228,2508191231,25081912,8000152
-893148775004719136,IC,2043,Hannover Hbf,2508192020,2508192036,25081920,8000152
-9088082730599968098,ICE,953,Hannover Hbf,2508191828,2508191831,25081918,8000152
-988583344704703688,ICE,883,Hamburg Dammtor,2508191554,2508191554,25081915,8002548
-988583344704703688,ICE,883,Hamburg Hbf,2508191558,2508191601,25081915,8002549
-988583344704703688,ICE,883,Hamburg-Harburg,2508191610,2508191612,25081916,8000147
-988583344704703688,ICE,883,Hannover Hbf,2508191720,2508191726,25081917,8000152
113516970818843912,ICE,759,Hannover Hbf,2508191501,2508191504,25081915,8000152
1176428023985104420,ICE,538,Hannover Hbf,2508191532,2508191545,25081915,8000152
1188908030179368912,ICE,1671,Hamburg-Altona,2508191213,2508191213,25081912,8002553
1188908030179368912,ICE,1671,Hamburg Dammtor,2508191220,2508191221,25081912,8002548
1188908030179368912,ICE,1671,Hamburg Hbf,2508191225,2508191228,25081912,8002549
1188908030179368912,ICE,1671,Hamburg-Harburg,2508191238,2508191240,25081912,8000147
1188908030179368912,ICE,1671,Lüneburg,2508191257,2508191259,25081912,8000238
1188908030179368912,ICE,1671,Uelzen,2508191313,2508191315,25081913,8000168
1188908030179368912,ICE,1671,Celle,2508191337,2508191338,25081913,8000064
1188908030179368912,ICE,1671,Hannover Hbf,2508191358,2508191401,25081913,8000152
1332050420045921138,ICE,630,Hannover Hbf,2508191332,2508191345,25081913,8000152
1436290888966803640,ICE,200,Hamburg-Harburg,2508191701,2508191701,25081917,8000147
1632912090988572644,ICE,650,Hannover Hbf,2508191237,2508191240,25081912,8000152
1663733559357008214,ICE,750,Hannover Hbf,2508191652,2508191656,25081916,8000152
1677073591470788837,ICE,548,Hannover Hbf,2508191428,2508191431,25081914,8000152
1690497143864597407,ICE,854,Hannover Hbf,2508191928,2508191931,25081919,8000152
1698974169433520451,ICE,1672,Celle,2508191217,2508191218,25081912,8000064
1698974169433520451,ICE,1672,Uelzen,2508191240,2508191242,25081912,8000168
1698974169433520451,ICE,1672,Lüneburg,2508191257,2508191259,25081912,8000238
1698974169433520451,ICE,1672,Hamburg-Harburg,2508191316,2508191318,25081913,8000147
1698974169433520451,ICE,1672,Hamburg Hbf,2508191330,2508191333,25081913,8002549
1698974169433520451,ICE,1672,Hamburg-Altona,2508191344,2508191344,25081913,8002553
195571161565961167,ICE,1586,Hannover Hbf,2508191258,2508191301,25081912,8000152
195571161565961167,ICE,1586,Celle,2508191318,2508191319,25081913,8000064
195571161565961167,ICE,1586,Uelzen,2508191340,2508191342,25081913,8000168
195571161565961167,ICE,1586,Lüneburg,2508191356,2508191358,25081913,8000238
195571161565961167,ICE,1586,Hamburg-Harburg,2508191416,2508191418,25081914,8000147
195571161565961167,ICE,1586,Hamburg Hbf,2508191429,2508191432,25081914,8002549
195571161565961167,ICE,1586,Hamburg Dammtor,2508191435,2508191437,25081914,8002548
195571161565961167,ICE,1586,Hamburg-Altona,2508191444,2508191444,25081914,8002553
1980910822671238492,ICE,708,Lüneburg,2508191829,2508191831,25081918,8000238
1980910822671238492,ICE,708,Hamburg-Harburg,2508191855,2508191857,25081918,8000147
1980910822671238492,ICE,708,Hamburg Hbf,2508191911,2508191915,25081919,8002549
2006650266683945588,ICE,681,Hamburg Hbf,2508191455,2508191501,25081914,8002549
2006650266683945588,ICE,681,Hamburg-Harburg,2508191511,2508191513,25081915,8000147
2006650266683945588,ICE,681,Hannover Hbf,2508191622,2508191626,25081916,8000152
2011312559727747204,IC,2084,Hannover Hbf,2508191654,2508191657,25081916,8000152
2011312559727747204,IC,2084,Celle,2508191716,2508191717,25081917,8000064
2011312559727747204,IC,2084,Uelzen,2508191741,2508191743,25081917,8000168
2011312559727747204,IC,2084,Lüneburg,2508191757,2508191759,25081917,8000238
2011312559727747204,IC,2084,Hamburg-Harburg,2508191816,2508191818,25081918,8000147
2011312559727747204,IC,2084,Hamburg Hbf,2508191830,2508191830,25081918,8002549
211585818996437737,ICE,547,Hannover Hbf,2508191328,2508191331,25081913,8000152
2312296716933966404,ICE,1021,Hamburg-Altona,2508191555,2508191555,25081915,8002553
2312296716933966404,ICE,1021,Hamburg Dammtor,2508191601,2508191602,25081916,8002548
2312296716933966404,ICE,1021,Hamburg Hbf,2508191606,2508191610,25081916,8002549
235347214713352060,ICE,1601,Uelzen,2508191228,2508191230,25081912,8000168
2456315461108108830,IC,144,Hannover Hbf,2508191353,2508191356,25081913,8000152
2474076290441674812,ICE,1285,Hannover Hbf,2508191246,2508191255,25081912,8000152
2662972692212507122,ICE,804,Lüneburg,2508191229,2508191231,25081912,8000238
2662972692212507122,ICE,804,Hamburg Hbf,2508191306,2508191306,25081913,8002549
2677562958045670522,ICE,74,Hannover Hbf,2508191617,2508191620,25081916,8000152
2677562958045670522,ICE,74,Hamburg Hbf,2508191735,2508191739,25081917,8002549
2677562958045670522,ICE,74,Hamburg Dammtor,2508191742,2508191743,25081917,8002548
2693134664275397928,ICE,1139,Hannover Hbf,2508191417,2508191427,25081914,8000152
2936828438103251305,ICE,273,Hamburg Dammtor,2508191817,2508191817,25081918,8002548
2936828438103251305,ICE,273,Hamburg Hbf,2508191821,2508191824,25081918,8002549
2936828438103251305,ICE,273,Hannover Hbf,2508191938,2508191941,25081919,8000152
2942558901086960115,ICE,859,Hannover Hbf,2508191428,2508191431,25081914,8000152
3365409376481099659,ICE,635,Hannover Hbf,2508192014,2508192026,25081920,8000152
